name,bucket,is_classical,depth,proof_length,file_path
ProbabilityTheory.Kernel.restrict_univ,depth 7+,1,9,2,Mathlib/Probability/Kernel/Basic.lean
Function.FactorizedRational.mulSupport,depth 7+,1,8,8,Mathlib/Analysis/Meromorphic/FactorizedRational.lean
contDiffWithinAt_iff_contDiffOn_nhds,depth 7+,1,7,7,Mathlib/Analysis/Calculus/ContDiff/Defs.lean
CliffordAlgebra.contractLeft_comm,depth 7+,1,9,5,Mathlib/LinearAlgebra/CliffordAlgebra/Contraction.lean
IsNilpotent.isUnit_one_sub,depth 7+,1,10,2,Mathlib/RingTheory/Nilpotent/Basic.lean
MeasureTheory.OuterMeasure.boundedBy_zero,depth 7+,1,8,2,Mathlib/MeasureTheory/OuterMeasure/OfFunction.lean
LipschitzWith.dist_iterate_succ_le_geometric,depth 7+,1,7,2,Mathlib/Topology/MetricSpace/Lipschitz.lean
enorm'_le_iff_norm_le,depth 7+,1,7,5,Mathlib/Analysis/Normed/Group/Basic.lean
Finset.prod_erase_lt_of_one_lt,depth 7+,1,7,3,Mathlib/Algebra/BigOperators/Group/Finset/Basic.lean
GenContFract.IntFractPair.coe_stream_nth_rat_eq,depth 7+,1,7,12,Mathlib/Algebra/ContinuedFractions/Computation/TerminatesIffRat.lean
Matrix.det_updateCol_sum,depth 7+,1,7,3,Mathlib/LinearAlgebra/Matrix/Determinant/Basic.lean
Finset.exists_lt_card_fiber_of_nsmul_lt_card_of_maps_to,depth 7+,1,7,2,Mathlib/Combinatorics/Pigeonhole.lean
left_mem_openSegment_iff,depth 7+,1,8,7,Mathlib/Analysis/Convex/Segment.lean
Matrix.det_updateRow_sum,depth 7+,1,7,2,Mathlib/LinearAlgebra/Matrix/Determinant/Basic.lean
NNReal.agmSequences_comm,depth 7+,1,8,4,Mathlib/Analysis/SpecialFunctions/ArithmeticGeometricMean.lean
ArithmeticFunction.sum_eq_iff_sum_mul_moebius_eq_on,depth 7+,1,7,6,Mathlib/NumberTheory/ArithmeticFunction/Moebius.lean
CategoryTheory.Center.leftUnitor_inv_f,depth 7+,1,7,3,Mathlib/CategoryTheory/Monoidal/Center.lean
RatFunc.liftRingHom_ofFractionRing_algebraMap,depth 7+,1,8,2,Mathlib/FieldTheory/RatFunc/Basic.lean
collinear_insert_insert_insert_left_of_mem_affineSpan_pair,depth 7+,1,7,3,Mathlib/LinearAlgebra/AffineSpace/FiniteDimensional.lean
MeasureTheory.SimpleFunc.bind_const,depth 7+,1,7,2,Mathlib/MeasureTheory/Function/SimpleFunc.lean
dist_triangle4_right,depth 7+,1,8,2,Mathlib/Topology/MetricSpace/Pseudo/Defs.lean
MeasureTheory.trim_trim,depth 7+,1,8,2,Mathlib/MeasureTheory/Measure/Trim.lean
t1Space_TFAE,depth 7+,1,7,23,Mathlib/Topology/Separation/Basic.lean
